"","Q1","Q2","Q3","Q4","Q5","Province"
"953","1","Conservative","Standstill","3","Liberal","Ontario"
"954","1","ndp","Standstill","2","Conservative","Quebec"
"955","1","Conservative","Right","4","ndp","Quebec"
"956","1","BlocQbc","Standstill","1","Conservative","Ontario"
"957","1","Liberal","Wrong","3","ndp","Ontario"
"958","1","PreferNot","Right","3","BlocQbc","Ontario"
"959","1","Liberal","Unsure","4","Conservative","British Columbia"
"960","1","Liberal","Right","5","Liberal","British Columbia"
"961","1","BlocQbc","Unsure","3","Liberal","Newfoundland and Labrador"
"962","1","Conservative","Standstill","3","Liberal","Quebec"
"963","1","Liberal","Right","4","Conservative","New Brunswick"
"964","1","Liberal","Wrong","5","Conservative","Quebec"
"965","1","Liberal","Wrong","3","Liberal","Ontario"
"966","1","BlocQbc","Right","5","Conservative","British Columbia"
"967","1","Liberal","Wrong","1","Conservative","British Columbia"
"968","1","Liberal","Unsure","4","Other","Ontario"
"969","1","Liberal","Wrong","5","Liberal","Quebec"
"970","1","Liberal","Right","5","Conservative","Quebec"
"971","1","BlocQbc","Unsure","3","Liberal","Manitoba"
"972","1","Conservative","Wrong","2","Liberal","Ontario"
"973","1","Liberal","Standstill","2","Conservative","Quebec"
"974","1","Conservative","Right","2","Liberal","Alberta"
"975","1","Conservative","Wrong","4","Liberal","Alberta"
"976","1","Conservative","Standstill","4","Liberal","Ontario"
"977","1","Conservative","Wrong","3","Conservative","New Brunswick"
"978","0",NA,"Wrong","5",NA,"Manitoba"
"979","1","Conservative","Unsure","5","Conservative","Quebec"
"980","1","Liberal","Unsure","4","Conservative","British Columbia"
"981","1","Conservative","Wrong","4","Liberal","Ontario"
"982","1","Liberal","Right","3","Conservative","Alberta"
"983","1","ndp","Standstill","1","BlocQbc","Ontario"
"984","1","BlocQbc","Wrong","3","Liberal","Ontario"
"985","1","Liberal","Wrong","1","Conservative","British Columbia"
"986","1","Conservative","Wrong","1","Liberal","Manitoba"
"987","1","ndp","Right","4","Conservative","Quebec"
"988","1","Conservative","Standstill","5","Liberal","Ontario"
"989","1","Liberal","Unsure","5","Conservative","Quebec"
"990","1","ndp","Right","4","Liberal","Ontario"
"991","1","Liberal","Wrong","3","Liberal","Quebec"
"992","1","Liberal","Right","2","Liberal","Quebec"
"993","0",NA,"Wrong","3",NA,"Quebec"
"994","1","Liberal","Wrong","3","Conservative","Ontario"
"995","1","Liberal","Standstill","3","Liberal","Manitoba"
"996","1","BlocQbc","Right","5","Liberal","Alberta"
"997","1","Liberal","Wrong","4","ndp","Alberta"
"998","0",NA,"Right","3",NA,"Ontario"
"999","1","Liberal","Standstill","5","Liberal","Quebec"
"1000","1","Liberal","Wrong","1","ndp","Quebec"
"1001","0",NA,"Unsure","5",NA,"Ontario"
"1002","1","Conservative","Unsure","2","Conservative","New Brunswick"
"1003","1","BlocQbc","Unsure","5","Liberal","British Columbia"
"1004","1","Conservative","Wrong","1","Conservative","Ontario"
"1005","1","Conservative","Standstill","1","Liberal","Quebec"
"1006","1","BlocQbc","Wrong","4","Conservative","British Columbia"
"1007","1","Conservative","Wrong","1","Conservative","Alberta"
"1008","1","Conservative","Right","1","Conservative","Quebec"
"1009","1","Liberal","Standstill","3","Conservative","Quebec"
"1010","1","Liberal","Standstill","3","Conservative","Quebec"
"1011","1","Liberal","Right","3","Liberal","British Columbia"
"1012","0",NA,"Wrong","3",NA,"Ontario"
"1013","1","Conservative","Wrong","4","Conservative","Ontario"
"1014","1","Liberal","Wrong","3","Conservative","Ontario"
"1015","0",NA,"Wrong","1",NA,"Ontario"
"1016","1","Liberal","Wrong","1","Green","Nova Scotia"
"1017","1","Liberal","Standstill","5","Conservative","Ontario"
"1018","1","Liberal","Unsure","1","Liberal","British Columbia"
"1019","1","Conservative","Right","1","Conservative","Ontario"
"1020","1","Liberal","Right","4","ndp","British Columbia"
"1021","0",NA,"Unsure","4",NA,"Quebec"
"1022","1","Liberal","Wrong","4","Green","Nova Scotia"
"1023","1","Conservative","Wrong","4","Conservative","Quebec"
"1024","1","Liberal","Unsure","5","Conservative","New Brunswick"
"1025","1","Liberal","Standstill","4","Conservative","Alberta"
"1026","1","Conservative","Unsure","4","BlocQbc","Ontario"
"1027","1","Conservative","Right","5","Liberal","Manitoba"
"1028","1","BlocQbc","Wrong","5","Liberal","Ontario"
"1029","1","Conservative","Unsure","4","Conservative","Quebec"
"1030","1","Conservative","Right","4","Conservative","British Columbia"
"1031","1","Conservative","Standstill","3","Conservative","Ontario"
"1032","1","Liberal","Right","2","Green","Manitoba"
"1033","1","Conservative","Unsure","5","Green","Alberta"
"1034","1","BlocQbc","Standstill","4","Other","Quebec"
"1035","1","Conservative","Right","1","Liberal","Alberta"
"1036","1","BlocQbc","Right","3","Liberal","Quebec"
"1037","1","Conservative","Right","5","BlocQbc","Ontario"
"1038","1","BlocQbc","Wrong","2","Liberal","Ontario"
"1039","1","Liberal","Unsure","5","Conservative","Ontario"
"1040","1","Conservative","Right","2","BlocQbc","Quebec"
"1041","1","Conservative","Wrong","4","Liberal","British Columbia"
"1042","0",NA,"Right","4",NA,"Ontario"
"1043","1","Conservative","Right","2","Other","Quebec"
"1044","0",NA,"Right","5",NA,"Quebec"
"1045","1","Conservative","Standstill","5","ndp","Alberta"
"1046","1","ndp","Right","5","Liberal","Quebec"
"1047","1","Green","Standstill","2","Liberal","Ontario"
"1048","1","Liberal","Wrong","5","BlocQbc","Quebec"
"1049","1","Conservative","Right","4","Liberal","Ontario"
"1050","1","Liberal","Wrong","4","Conservative","Ontario"
"1051","1","PreferNot","Wrong","5","ndp","Ontario"
"1052","1","Conservative","Right","5","Conservative","Ontario"
"1053","1","Liberal","Right","2","Conservative","Ontario"
"1054","1","Liberal","Right","3","Conservative","Ontario"
"1055","1","BlocQbc","Unsure","1","Liberal","Alberta"
"1056","0",NA,"Wrong","5",NA,"Quebec"
"1057","1","Conservative","Wrong","5","Conservative","British Columbia"
"1058","1","Conservative","Right","4","Liberal","Quebec"
"1059","1","BlocQbc","Wrong","2","ndp","British Columbia"
"1060","1","Liberal","Right","1","Conservative","Ontario"
"1061","1","Liberal","Unsure","2","BlocQbc","Ontario"
"1062","1","Conservative","Wrong","3","Liberal","British Columbia"
"1063","1","Conservative","Wrong","2","Liberal","Ontario"
"1064","1","Conservative","Right","5","Conservative","Ontario"
"1065","1","ndp","Right","2","Conservative","Alberta"
"1066","1","BlocQbc","Wrong","2","Liberal","Quebec"
"1067","1","ndp","Right","5","Liberal","Ontario"
"1068","1","BlocQbc","Right","3","Liberal","British Columbia"
"1069","1","Conservative","Wrong","2","Liberal","Saskatchewan"
"1070","1","Conservative","Right","4","Conservative","Ontario"
"1071","1","Liberal","Right","5","Liberal","Quebec"
"1072","1","Liberal","Right","3","Liberal","Quebec"
"1073","1","Green","Right","2","Conservative","Manitoba"
"1074","0",NA,"Standstill","2",NA,"Ontario"
"1075","1","Conservative","Right","5","Liberal","British Columbia"
"1076","1","Conservative","Wrong","2","Conservative","Ontario"
"1077","1","Liberal","Wrong","2","Conservative","Alberta"
"1078","1","Conservative","Right","5","Liberal","Ontario"
"1079","1","ndp","Standstill","5","Liberal","Ontario"
"1080","1","Liberal","Unsure","3","Conservative","Ontario"
"1081","1","Liberal","Right","4","Conservative","Quebec"
"1082","1","Liberal","Right","4","Liberal","Nova Scotia"
"1083","1","PreferNot","Wrong","2","ndp","Ontario"
"1084","1","Liberal","Wrong","4","Liberal","Ontario"
"1085","1","Conservative","Standstill","3","Liberal","Nova Scotia"
"1086","1","Liberal","Wrong","4","Liberal","Quebec"
"1087","0",NA,"Wrong","5",NA,"Ontario"
"1088","1","Liberal","Wrong","2","Liberal","Manitoba"
"1089","1","Liberal","Standstill","2","ndp","Manitoba"
"1090","1","Conservative","Unsure","3","Conservative","Ontario"
"1091","1","BlocQbc","Unsure","3","Liberal","Ontario"
"1092","1","BlocQbc","Right","5","Liberal","Ontario"
"1093","1","PreferNot","Standstill","2","Conservative","British Columbia"
"1094","1","Liberal","Right","1","ndp","Quebec"
"1095","1","Conservative","Wrong","4","Liberal","Nova Scotia"
"1096","0",NA,"Wrong","5",NA,"Ontario"
"1097","1","Liberal","Right","4","Liberal","British Columbia"
"1098","1","Liberal","Wrong","2","Liberal","Ontario"
"1099","0",NA,"Right","4",NA,"Ontario"
"1100","1","Liberal","Standstill","1","Liberal","Ontario"
"1101","1","Conservative","Standstill","1","Conservative","Ontario"
"1102","1","Conservative","Right","4","ndp","Ontario"
"1103","1","Conservative","Wrong","4","Liberal","Alberta"
"1104","1","Conservative","Right","2","Liberal","Ontario"
"1105","1","Liberal","Standstill","4","Other","British Columbia"
"1106","1","ndp","Wrong","4","Conservative","Newfoundland and Labrador"
"1107","1","BlocQbc","Standstill","5","Liberal","Ontario"
"1108","1","Liberal","Wrong","4","Conservative","Quebec"
"1109","1","ndp","Right","4","ndp","British Columbia"
"1110","1","Conservative","Wrong","4","Conservative","Ontario"
"1111","1","Conservative","Right","3","Conservative","Newfoundland and Labrador"
"1112","1","Conservative","Right","5","Conservative","Quebec"
"1113","1","Green","Wrong","4","Conservative","Ontario"
"1114","0",NA,"Standstill","1",NA,"Quebec"
"1115","0",NA,"Unsure","5",NA,"Ontario"
"1116","1","Liberal","Right","3","Green","Quebec"
"1117","1","Conservative","Unsure","3","Liberal","Ontario"
"1118","1","Conservative","Wrong","4","Conservative","Alberta"
"1119","1","Green","Standstill","2","ndp","Ontario"
"1120","1","Liberal","Wrong","2","Conservative","Manitoba"
"1121","1","Conservative","Right","4","Liberal","Quebec"
"1122","1","Conservative","Wrong","2","Liberal","British Columbia"
"1123","1","Liberal","Right","5","Liberal","Alberta"
"1124","1","Conservative","Wrong","5","Conservative","Ontario"
"1125","1","Liberal","Wrong","4","Liberal","Quebec"
"1126","1","Liberal","Right","1","Conservative","Ontario"
"1127","1","BlocQbc","Wrong","2","Liberal","Alberta"
"1128","1","Liberal","Right","5","Liberal","Ontario"
"1129","1","Liberal","Standstill","4","BlocQbc","British Columbia"
"1130","1","Conservative","Right","4","Liberal","Alberta"
"1131","1","Conservative","Standstill","5","Liberal","Alberta"
"1132","1","Liberal","Standstill","4","Liberal","Ontario"
"1133","1","Conservative","Right","4","Liberal","Alberta"
"1134","1","Liberal","Unsure","3","BlocQbc","New Brunswick"
"1135","1","Liberal","Right","2","BlocQbc","Alberta"
"1136","0",NA,"Standstill","5",NA,"Saskatchewan"
"1137","1","Liberal","Right","5","Conservative","British Columbia"
"1138","1","Liberal","Standstill","1","Conservative","Ontario"
"1139","1","Liberal","Wrong","2","Other","Alberta"
"1140","1","Liberal","Standstill","5","ndp","Ontario"
"1141","1","Liberal","Right","1","Liberal","Newfoundland and Labrador"
"1142","1","Conservative","Unsure","4","Conservative","Ontario"
"1143","1","ndp","Standstill","5","Conservative","British Columbia"
"1144","1","Liberal","Right","3","Liberal","Ontario"
"1145","1","Liberal","Wrong","4","Conservative","Quebec"
"1146","1","Liberal","Wrong","1","Liberal","Ontario"
"1147","1","Conservative","Standstill","5","Conservative","British Columbia"
"1148","0",NA,"Standstill","3",NA,"Quebec"
"1149","1","ndp","Right","4","Liberal","Quebec"
"1150","1","Liberal","Wrong","1","Conservative","Ontario"
"1151","1","Liberal","Right","4","Green","Ontario"
"1152","1","Liberal","Wrong","5","BlocQbc","Ontario"
"1153","1","Liberal","Standstill","3","Conservative","Manitoba"
"1154","1","Conservative","Right","4","Liberal","Ontario"
"1155","1","Liberal","Right","2","Liberal","Ontario"
"1156","1","ndp","Wrong","4","BlocQbc","Ontario"
"1157","1","Liberal","Wrong","3","Liberal","Alberta"
"1158","1","Green","Standstill","4","Liberal","Ontario"
"1159","1","Liberal","Standstill","5","Conservative","Ontario"
"1160","1","Conservative","Wrong","4","ndp","Quebec"
"1161","1","Conservative","Wrong","3","Conservative","Prince Edward Island"
"1162","1","Liberal","Wrong","1","BlocQbc","Alberta"
"1163","1","PreferNot","Standstill","1","Conservative","Quebec"
"1164","1","Liberal","Right","1","Conservative","Quebec"
"1165","1","Liberal","Right","4","Liberal","Nova Scotia"
"1166","1","Liberal","Wrong","4","Conservative","Quebec"
"1167","1","Conservative","Wrong","4","Liberal","Ontario"
"1168","1","Liberal","Right","3","Conservative","Quebec"
"1169","1","BlocQbc","Wrong","1","Liberal","Ontario"
"1170","1","Conservative","Right","4","BlocQbc","Quebec"
"1171","0",NA,"Wrong","2",NA,"Quebec"
"1172","1","Liberal","Wrong","3","Liberal","Ontario"
"1173","1","Liberal","Wrong","4","BlocQbc","Ontario"
"1174","1","Conservative","Standstill","3","Conservative","Ontario"
"1175","1","Conservative","Standstill","1","Liberal","British Columbia"
"1176","1","Conservative","Unsure","3","Conservative","Quebec"
"1177","1","Liberal","Standstill","4","Conservative","Ontario"
"1178","1","ndp","Wrong","1","Conservative","Manitoba"
"1179","1","PreferNot","Wrong","2","Conservative","New Brunswick"
"1180","1","Conservative","Standstill","2","Liberal","Alberta"
"1181","1","Liberal","Right","4","Conservative","Ontario"
"1182","1","PreferNot","Wrong","3","Liberal","Quebec"
"1183","1","Conservative","Right","1","Liberal","Quebec"
"1184","1","BlocQbc","Wrong","3","Conservative","British Columbia"
"1185","1","Conservative","Standstill","4","ndp","British Columbia"
"1186","1","Conservative","Wrong","3","Conservative","Ontario"
"1187","1","Conservative","Standstill","2","BlocQbc","Ontario"
"1188","0",NA,"Wrong","4",NA,"Ontario"
"1189","1","Conservative","Standstill","2","Liberal","Alberta"
"1190","1","Conservative","Standstill","3","Liberal","Ontario"
"1191","1","Liberal","Standstill","1","BlocQbc","Ontario"
"1192","1","Conservative","Standstill","4","Liberal","Ontario"
"1193","1","Liberal","Standstill","5","ndp","Ontario"
"1194","1","Conservative","Right","1","Liberal","Manitoba"
"1195","1","ndp","Wrong","4","Conservative","Quebec"
"1196","1","Green","Right","2","Liberal","Ontario"
"1197","1","Liberal","Wrong","2","BlocQbc","Saskatchewan"
"1198","1","Liberal","Unsure","3","Liberal","New Brunswick"
"1199","1","Green","Right","4","Liberal","Quebec"
"1200","0",NA,"Standstill","3",NA,"Quebec"
"1201","1","ndp","Standstill","2","Liberal","Ontario"
"1202","1","Conservative","Wrong","4","ndp","Nova Scotia"
"1203","1","Green","Unsure","3","Liberal","Ontario"
"1204","1","Liberal","Wrong","4","Liberal","Ontario"
"1205","1","Liberal","Wrong","1","Conservative","Manitoba"
"1206","1","Conservative","Wrong","5","BlocQbc","Alberta"
"1207","1","Conservative","Right","2","BlocQbc","Ontario"
"1208","1","Conservative","Standstill","2","ndp","Nova Scotia"
"1209","1","Liberal","Right","4","Conservative","Ontario"
"1210","1","Conservative","Right","2","Liberal","Nova Scotia"
"1211","1","ndp","Wrong","2","Liberal","Quebec"
"1212","0",NA,"Standstill","4",NA,"Quebec"
"1213","1","Liberal","Wrong","2","Conservative","British Columbia"
"1214","1","Liberal","Right","4","Conservative","British Columbia"
"1215","0",NA,"Right","1",NA,"Quebec"
"1216","1","Liberal","Right","5","Conservative","Ontario"
"1217","1","ndp","Standstill","2","Conservative","Nunavut"
"1218","1","Liberal","Wrong","1","Liberal","Alberta"
"1219","1","Liberal","Unsure","3","Conservative","Quebec"
"1220","1","Conservative","Standstill","4","Liberal","Ontario"
"1221","1","Conservative","Wrong","4","Conservative","Ontario"
"1222","1","Liberal","Standstill","4","Liberal","Quebec"
"1223","1","Conservative","Right","2","Conservative","Quebec"
"1224","1","Conservative","Right","1","Liberal","Ontario"
"1225","1","ndp","Wrong","4","ndp","Ontario"
"1226","1","Liberal","Right","4","Conservative","Quebec"
"1227","1","Liberal","Wrong","3","Liberal","New Brunswick"
"1228","1","Liberal","Unsure","3","Conservative","Quebec"
"1229","1","Conservative","Right","2","Conservative","Quebec"
"1230","1","BlocQbc","Wrong","4","Liberal","Quebec"
"1231","1","Liberal","Standstill","3","Conservative","Quebec"
"1232","1","Conservative","Unsure","2","Liberal","Ontario"
"1233","1","Liberal","Right","4","Conservative","Quebec"
"1234","1","Liberal","Right","2","Conservative","Manitoba"
"1235","1","Liberal","Wrong","4","Liberal","Manitoba"
"1236","1","Conservative","Standstill","1","Liberal","Alberta"
"1237","1","Liberal","Wrong","3","Liberal","British Columbia"
"1238","1","Liberal","Wrong","3","Liberal","New Brunswick"
"1239","1","Liberal","Right","5","Liberal","Ontario"
"1240","1","BlocQbc","Right","5","Liberal","Ontario"
"1241","1","Liberal","Standstill","1","Conservative","Saskatchewan"
"1242","1","Conservative","Right","5","Conservative","British Columbia"
"1243","1","Conservative","Standstill","2","Conservative","Ontario"
"1244","1","ndp","Wrong","3","Conservative","Ontario"
"1245","0",NA,"Standstill","4",NA,"Quebec"
"1246","1","Conservative","Standstill","5","BlocQbc","Ontario"
"1247","0",NA,"Right","4",NA,"British Columbia"
"1248","1","Conservative","Wrong","1","Green","Ontario"
"1249","1","Liberal","Right","2","Liberal","British Columbia"
"1250","1","Conservative","Unsure","3","Conservative","British Columbia"
"1251","1","Liberal","Wrong","2","Conservative","Alberta"
"1252","1","BlocQbc","Unsure","2","ndp","Nova Scotia"
"1253","1","Liberal","Right","3","Conservative","British Columbia"
"1254","1","BlocQbc","Standstill","3","Liberal","Ontario"
"1255","1","Conservative","Right","4","Conservative","Ontario"
"1256","1","Liberal","Right","3","Conservative","Alberta"
"1257","1","Conservative","Wrong","4","Liberal","Quebec"
"1258","1","Liberal","Right","2","Liberal","British Columbia"
"1259","1","Liberal","Unsure","3","ndp","Ontario"
"1260","1","Liberal","Standstill","4","Green","Alberta"
"1261","1","Liberal","Right","4","Liberal","Quebec"
"1262","1","Liberal","Wrong","5","Liberal","Ontario"
"1263","1","Liberal","Right","1","Conservative","Ontario"
"1264","0",NA,"Standstill","4",NA,"Alberta"
"1265","1","Liberal","Standstill","1","Conservative","British Columbia"
"1266","1","Liberal","Unsure","2","Conservative","Ontario"
"1267","0",NA,"Wrong","2",NA,"Manitoba"
"1268","1","Liberal","Right","1","ndp","British Columbia"
"1269","1","Liberal","Unsure","5","Liberal","Ontario"
"1270","1","Liberal","Standstill","5","Liberal","Alberta"
"1271","1","BlocQbc","Right","4","Liberal","Quebec"
"1272","1","ndp","Standstill","3","Conservative","Alberta"
"1273","1","Liberal","Wrong","4","Conservative","Newfoundland and Labrador"
"1274","1","Liberal","Wrong","2","Liberal","British Columbia"
"1275","1","Liberal","Standstill","3","Conservative","Quebec"
"1276","1","Liberal","Right","4","ndp","British Columbia"
"1277","0",NA,"Standstill","5",NA,"Ontario"
"1278","1","Conservative","Wrong","2","Conservative","British Columbia"
"1279","1","Conservative","Wrong","4","Liberal","Saskatchewan"
"1280","0",NA,"Standstill","3",NA,"Ontario"
"1281","1","Conservative","Unsure","5","ndp","Quebec"
"1282","1","Green","Wrong","5","ndp","Ontario"
"1283","1","Green","Unsure","1","ndp","Ontario"
"1284","1","Green","Wrong","4","Liberal","British Columbia"
"1285","1","PreferNot","Wrong","2","Liberal","Ontario"
"1286","1","Liberal","Wrong","4","BlocQbc","Ontario"
"1287","1","PreferNot","Right","4","Conservative","Ontario"
"1288","0",NA,"Right","4",NA,"Ontario"
"1289","1","Conservative","Wrong","4","Liberal","Alberta"
"1290","1","Conservative","Standstill","4","Conservative","Quebec"
"1291","1","Liberal","Wrong","2","Other","British Columbia"
"1292","1","Conservative","Wrong","4","Liberal","Quebec"
"1293","1","Green","Standstill","3","ndp","Ontario"
"1294","1","Liberal","Wrong","5","BlocQbc","Alberta"
"1295","1","Conservative","Wrong","4","Liberal","Quebec"
"1296","1","Conservative","Wrong","4","ndp","Quebec"
"1297","1","ndp","Standstill","2","Liberal","Saskatchewan"
"1298","1","Conservative","Right","2","Conservative","British Columbia"
"1299","1","Conservative","Wrong","3","Liberal","Ontario"
"1300","1","Liberal","Wrong","1","ndp","Ontario"
"1301","1","BlocQbc","Wrong","3","Conservative","Alberta"
"1302","1","Liberal","Wrong","1","Liberal","Alberta"
"1303","1","Liberal","Standstill","2","Liberal","Quebec"
"1304","1","Liberal","Wrong","3","Liberal","Ontario"
"1305","1","Conservative","Right","4","Conservative","Quebec"
"1306","1","Liberal","Right","5","Liberal","British Columbia"
"1307","1","Conservative","Standstill","5","Liberal","British Columbia"
"1308","1","Liberal","Standstill","5","Liberal","Ontario"
"1309","1","Liberal","Standstill","3","Liberal","Alberta"
"1310","1","Conservative","Wrong","2","Liberal","British Columbia"
"1311","1","Liberal","Right","2","Liberal","Saskatchewan"
"1312","1","Liberal","Wrong","5","Liberal","Quebec"
"1313","1","Liberal","Wrong","5","ndp","Nova Scotia"
"1314","1","Conservative","Wrong","2","ndp","British Columbia"
"1315","1","BlocQbc","Wrong","2","Liberal","British Columbia"
"1316","1","Liberal","Right","3","ndp","Ontario"
"1317","1","ndp","Right","5","Conservative","Quebec"
"1318","1","BlocQbc","Standstill","1","BlocQbc","Alberta"
"1319","1","Conservative","Right","2","Liberal","Quebec"
"1320","1","Conservative","Right","2","Conservative","Ontario"
"1321","1","Liberal","Standstill","5","Conservative","British Columbia"
"1322","1","Conservative","Right","1","Liberal","Saskatchewan"
"1323","1","Liberal","Unsure","1","Liberal","Quebec"
"1324","1","Liberal","Wrong","4","Liberal","Quebec"
"1325","0",NA,"Wrong","2",NA,"Alberta"
"1326","1","Liberal","Wrong","5","Liberal","Alberta"
"1327","1","Liberal","Standstill","5","Liberal","Ontario"
"1328","1","Conservative","Wrong","3","Liberal","British Columbia"
"1329","1","Conservative","Right","4","Conservative","Ontario"
"1330","1","Conservative","Wrong","2","Other","Alberta"
"1331","1","Conservative","Unsure","2","Liberal","British Columbia"
"1332","1","Conservative","Wrong","2","Conservative","Ontario"
"1333","1","Liberal","Wrong","2","Liberal","Saskatchewan"
"1334","1","ndp","Standstill","3","Conservative","Ontario"
"1335","1","ndp","Right","4","Green","Quebec"
"1336","1","Liberal","Wrong","2","BlocQbc","Ontario"
"1337","1","Liberal","Unsure","5","Conservative","Saskatchewan"
"1338","1","Conservative","Standstill","1","Liberal","Nova Scotia"
"1339","1","Liberal","Unsure","4","Conservative","Saskatchewan"
"1340","1","Liberal","Standstill","4","ndp","Alberta"
"1341","0",NA,"Standstill","2",NA,"Saskatchewan"
"1342","1","Conservative","Wrong","1","Conservative","Ontario"
"1343","1","Liberal","Wrong","1","BlocQbc","Quebec"
"1344","1","Liberal","Wrong","2","Liberal","British Columbia"
"1345","1","BlocQbc","Wrong","5","Conservative","Ontario"
"1346","1","Conservative","Right","2","Conservative","Ontario"
"1347","1","Liberal","Standstill","2","ndp","Manitoba"
"1348","1","Liberal","Wrong","3","Conservative","British Columbia"
"1349","1","Liberal","Wrong","5","Liberal","Quebec"
"1350","1","Liberal","Wrong","3","Liberal","Ontario"
"1351","1","Conservative","Right","4","Liberal","British Columbia"
"1352","1","Conservative","Wrong","5","Liberal","Ontario"
"1353","1","Conservative","Wrong","1","Liberal","Alberta"
"1354","0",NA,"Right","4",NA,"Ontario"
"1355","1","Conservative","Right","2","Liberal","Ontario"
"1356","1","Liberal","Right","5","Liberal","Quebec"
"1357","1","Liberal","Right","5","Conservative","Nova Scotia"
"1358","1","Liberal","Wrong","4","ndp","Quebec"
"1359","1","Liberal","Right","1","Liberal","Ontario"
"1360","1","Liberal","Right","5","Liberal","Ontario"
"1361","1","Conservative","Standstill","4","Liberal","Ontario"
"1362","1","ndp","Wrong","4","BlocQbc","Quebec"
"1363","1","Liberal","Standstill","2","BlocQbc","British Columbia"
"1364","1","Conservative","Wrong","2","Conservative","British Columbia"
"1365","0",NA,"Wrong","4",NA,"Newfoundland and Labrador"
"1366","0",NA,"Wrong","2",NA,"New Brunswick"
"1367","1","BlocQbc","Wrong","3","Conservative","British Columbia"
"1368","1","Liberal","Right","5","Liberal","Ontario"
"1369","1","BlocQbc","Right","1","Liberal","Alberta"
"1370","1","PreferNot","Wrong","2","ndp","Quebec"
"1371","1","Liberal","Right","3","Liberal","Ontario"
"1372","1","Liberal","Right","4","Liberal","British Columbia"
"1373","1","Liberal","Wrong","4","Liberal","Alberta"
"1374","1","Conservative","Wrong","5","Conservative","Manitoba"
"1375","1","Liberal","Standstill","4","Liberal","Ontario"
"1376","1","Conservative","Standstill","3","Conservative","British Columbia"
"1377","1","Liberal","Wrong","4","Conservative","British Columbia"
"1378","1","Liberal","Right","5","Conservative","British Columbia"
"1379","1","BlocQbc","Right","4","BlocQbc","Ontario"
"1380","1","Conservative","Wrong","3","ndp","Saskatchewan"
"1381","0",NA,"Standstill","4",NA,"Quebec"
"1382","1","Liberal","Standstill","1","Conservative","Alberta"
"1383","1","ndp","Wrong","4","Conservative","Ontario"
"1384","1","Liberal","Standstill","5","Conservative","Quebec"
"1385","1","Liberal","Standstill","4","Liberal","Saskatchewan"
"1386","1","Liberal","Standstill","2","Liberal","Nova Scotia"
"1387","1","Liberal","Right","4","Liberal","Manitoba"
"1388","1","Liberal","Wrong","3","Liberal","Quebec"
"1389","1","Conservative","Standstill","4","Conservative","Alberta"
"1390","1","Conservative","Right","5","Other","Ontario"
"1391","1","Liberal","Right","1","Conservative","British Columbia"
"1392","0",NA,"Right","3",NA,"Quebec"
"1393","1","Liberal","Right","2","Liberal","British Columbia"
"1394","1","Liberal","Wrong","2","Liberal","Ontario"
"1395","1","Liberal","Wrong","2","Conservative","New Brunswick"
"1396","1","ndp","Right","1","Liberal","Quebec"
"1397","0",NA,"Wrong","2",NA,"Quebec"
"1398","1","Liberal","Right","3","Liberal","Quebec"
"1399","1","Liberal","Standstill","4","Other","Alberta"
"1400","1","Conservative","Unsure","2","Liberal","Ontario"
"1401","0",NA,"Unsure","4",NA,"Ontario"
"1402","1","BlocQbc","Wrong","4","Green","Quebec"
"1403","0",NA,"Standstill","4",NA,"Ontario"
"1404","1","ndp","Right","2","Liberal","Newfoundland and Labrador"
"1405","1","Liberal","Right","4","Liberal","Manitoba"
"1406","0",NA,"Wrong","5",NA,"Manitoba"
"1407","1","Conservative","Wrong","4","Liberal","Ontario"
"1408","1","Conservative","Right","3","Liberal","Ontario"
"1409","1","ndp","Unsure","2","BlocQbc","Ontario"
"1410","1","Liberal","Right","2","ndp","Quebec"
"1411","1","Conservative","Right","1","Conservative","Quebec"
"1412","1","Green","Unsure","3","Liberal","Quebec"
"1413","1","Liberal","Right","1","ndp","British Columbia"
"1414","1","ndp","Wrong","4","Liberal","Manitoba"
"1415","1","Green","Unsure","3","Liberal","Manitoba"
"1416","1","Liberal","Standstill","4","Liberal","Alberta"
"1417","1","Conservative","Wrong","5","Conservative","Ontario"
"1418","1","Conservative","Right","4","BlocQbc","Quebec"
"1419","1","Green","Wrong","5","Liberal","Ontario"
"1420","1","Liberal","Right","5","Liberal","Ontario"
"1421","1","BlocQbc","Right","4","Liberal","Nova Scotia"
"1422","1","Conservative","Wrong","3","Conservative","Ontario"
"1423","1","Liberal","Right","3","Liberal","Newfoundland and Labrador"
"1424","0",NA,"Standstill","1",NA,"New Brunswick"
"1425","1","ndp","Unsure","2","Conservative","Ontario"
"1426","1","Liberal","Wrong","5","Liberal","Saskatchewan"
"1427","1","Conservative","Right","4","Liberal","Quebec"
"1428","1","Conservative","Right","4","Conservative","Ontario"
"1429","1","Conservative","Right","4","Conservative","Quebec"
"1430","1","Green","Unsure","5","Conservative","Quebec"
"1431","1","Liberal","Unsure","4","Conservative","Alberta"
"1432","1","Liberal","Right","1","Liberal","Ontario"
"1433","1","Liberal","Right","4","Liberal","Ontario"
"1434","1","Conservative","Unsure","5","Conservative","Saskatchewan"
"1435","1","Conservative","Right","4","Conservative","Ontario"
"1436","1","Liberal","Standstill","3","BlocQbc","Ontario"
"1437","1","Liberal","Wrong","4","ndp","Quebec"
"1438","1","Liberal","Right","4","Liberal","Ontario"
"1439","1","Green","Right","4","ndp","Alberta"
